Season,Round,Date,Home Team,Away Team,Home Score,Away Score,Total Goals,Result
2023/2024,34,04/05/2023,Getafe,Ath Bilbao,0,2,2,Away Win
2023/2024,33,30/04/2023,Barcelona,Valencia,4,2,6,Home Win
2023/2024,33,29/04/2023,Betis,Sevilla,1,1,2,Draw
2023/2024,33,29/04/2023,Villarreal,Rayo Vallecano,3,0,3,Home Win
2023/2024,33,28/04/2023,Granada CF,Osasuna,3,0,3,Home Win
2023/2024,33,28/04/2023,Cadiz CF,Mallorca,1,1,2,Draw
2023/2024,33,28/04/2023,Atl. Madrid,Ath Bilbao,3,1,4,Home Win
2023/2024,33,28/04/2023,Alaves,Celta Vigo,3,0,3,Home Win
2023/2024,33,27/04/2023,Almeria,Getafe,1,3,4,Away Win
2023/2024,33,27/04/2023,Las Palmas,Girona,0,2,2,Away Win
2023/2024,33,27/04/2023,Real Sociedad,Real Madrid,0,1,1,Away Win
2023/2024,32,23/04/2023,Sevilla,Mallorca,2,1,3,Home Win
2023/2024,32,22/04/2023,Real Madrid,Barcelona,3,2,5,Home Win
2023/2024,32,22/04/2023,Alaves,Atl. Madrid,2,0,2,Home Win
2023/2024,32,21/04/2023,Almeria,Villarreal,1,2,3,Away Win
2023/2024,32,21/04/2023,Getafe,Real Sociedad,1,1,2,Draw
2023/2024,32,21/04/2023,Girona,Cadiz CF,4,1,5,Home Win
2023/2024,32,21/04/2023,Valencia,Betis,1,2,3,Away Win
2023/2024,32,20/04/2023,Rayo Vallecano,Osasuna,2,1,3,Home Win
2023/2024,32,20/04/2023,Celta Vigo,Las Palmas,4,1,5,Home Win
2023/2024,32,20/04/2023,Ath Bilbao,Granada CF,1,1,2,Draw
2023/2024,31,16/04/2023,Osasuna,Valencia,0,1,1,Away Win
2023/2024,31,15/04/2023,Real Sociedad,Almeria,2,2,4,Draw
2023/2024,31,15/04/2023,Ath Bilbao,Villarreal,1,1,2,Draw
2023/2024,31,14/04/2023,Granada CF,Alaves,2,0,2,Home Win
2023/2024,31,14/04/2023,Las Palmas,Sevilla,0,2,2,Away Win
2023/2024,31,14/04/2023,Cadiz CF,Barcelona,0,1,1,Away Win
2023/2024,31,14/04/2023,Mallorca,Real Madrid,0,1,1,Away Win
2023/2024,31,13/04/2023,Rayo Vallecano,Getafe,0,0,0,Draw
2023/2024,31,13/04/2023,Atl. Madrid,Girona,3,1,4,Home Win
2023/2024,31,13/04/2023,Betis,Celta Vigo,2,1,3,Home Win
2023/2024,26,05/04/2023,Granada CF,Valencia,0,1,1,Away Win
2023/2024,30,02/04/2023,Villarreal,Atl. Madrid,1,2,3,Away Win
2023/2024,30,01/04/2023,Real Madrid,Ath Bilbao,2,0,2,Home Win
2023/2024,30,01/04/2023,Alaves,Real Sociedad,0,1,1,Away Win
2023/2024,30,31/03/2023,Girona,Betis,3,2,5,Home Win
2023/2024,30,31/03/2023,Celta Vigo,Rayo Vallecano,0,0,0,Draw
2023/2024,30,31/03/2023,Barcelona,Las Palmas,1,0,1,Home Win
2023/2024,30,31/03/2023,Valencia,Mallorca,0,0,0,Draw
2023/2024,30,30/03/2023,Almeria,Osasuna,0,3,3,Away Win
2023/2024,30,30/03/2023,Getafe,Sevilla,0,1,1,Away Win
2023/2024,30,30/03/2023,Cadiz CF,Granada CF,1,0,1,Home Win
2023/2024,29,18/03/2023,Atl. Madrid,Barcelona,0,3,3,Away Win
2023/2024,29,18/03/2023,Rayo Vallecano,Betis,2,0,2,Home Win
2023/2024,29,17/03/2023,Las Palmas,Almeria,0,1,1,Away Win
2023/2024,29,17/03/2023,Villarreal,Valencia,1,0,1,Home Win
2023/2024,29,17/03/2023,Sevilla,Celta Vigo,1,2,3,Away Win
2023/2024,29,17/03/2023,Ath Bilbao,Alaves,2,0,2,Home Win
2023/2024,29,17/03/2023,Getafe,Girona,1,0,1,Home Win
2023/2024,29,16/03/2023,Osasuna,Real Madrid,2,4,6,Away Win
2023/2024,29,16/03/2023,Mallorca,Granada CF,1,0,1,Home Win
2023/2024,29,16/03/2023,Real Sociedad,Cadiz CF,2,0,2,Home Win
2023/2024,28,12/03/2023,Almeria,Sevilla,2,2,4,Draw
2023/2024,28,11/03/2023,Betis,Villarreal,2,3,5,Away Win
2023/2024,28,11/03/2023,Real Madrid,Celta Vigo,4,0,4,Home Win
2023/2024,28,10/03/2023,Las Palmas,Ath Bilbao,0,2,2,Away Win
2023/2024,28,10/03/2023,Alaves,Rayo Vallecano,1,0,1,Home Win
2023/2024,28,10/03/2023,Girona,Osasuna,2,0,2,Home Win
2023/2024,28,10/03/2023,Granada CF,Real Sociedad,2,3,5,Away Win
2023/2024,28,09/03/2023,Cadiz CF,Atl. Madrid,2,0,2,Home Win
2023/2024,28,09/03/2023,Valencia,Getafe,1,0,1,Home Win
2023/2024,28,09/03/2023,Barcelona,Mallorca,1,0,1,Home Win
2023/2024,27,05/03/2023,Osasuna,Alaves,1,0,1,Home Win
2023/2024,27,04/03/2023,Ath Bilbao,Barcelona,0,0,0,Draw
2023/2024,27,04/03/2023,Mallorca,Girona,1,0,1,Home Win
2023/2024,27,03/03/2023,Atl. Madrid,Betis,2,1,3,Home Win
2023/2024,27,03/03/2023,Villarreal,Granada CF,5,1,6,Home Win
2023/2024,27,03/03/2023,Valencia,Real Madrid,2,2,4,Draw
2023/2024,27,03/03/2023,Getafe,Las Palmas,3,3,6,Draw
2023/2024,27,02/03/2023,Rayo Vallecano,Cadiz CF,1,1,2,Draw
2023/2024,27,02/03/2023,Sevilla,Real Sociedad,3,2,5,Home Win
2023/2024,27,02/03/2023,Celta Vigo,Almeria,1,0,1,Home Win
2023/2024,26,27/02/2023,Girona,Rayo Vallecano,3,0,3,Home Win
